Version:
Wed Sep 23 12:18:16 EDT 2015
Table: M31 Hectospec Catalog of Old Clusters
Entries are separated by TABS.
Ap is the photometry aperture in arcsecs.
Vel_source is either HS (Hectospec), HX (from various Huxor et al.
    papers), B (Barmby), P (Perrett et al).
Mag_source is either L (LGS images, measured in Caldwell et al 2009),
     B (Barmby), H (from various Huxor et al. papers).
EBV_source reddening estimate, from Caldwell 2011 (H),  Barmby (B), or the median (blank)
Age is in Gyr. Clusters where an age determination was difficult are given "(14)". Blank age values mean that the cluster is obviously old, but no
measurement has been made. Typically that is the case for objects without
Hectospectra.  Masses are in solar units.  
XY are in kpc assuming distance is 770kpc, X is positive at higher RA.
[Fe/H] values are either from integrated light spectroscopic measurements ([Fe/H]_source=HS, 
see Caldwell 2011), or from CMDs (Lit, references in Caldwell 2011).
Table is not up-to-date for the outer clusters.

See Caldwell et al. "Star Clusters in M31. II. Old Cluster Metallicities and Ages from Hectospec Data" 
(http://adsabs.harvard.edu/abs/2011AJ....141...61C) for details.

object    	RA           	DEC          	X     	Y      	VELOCITY	CZERR 	E(B-V)	V    	V_err	Ap    	Vel_source	Mag_source	Age 	[Fe/H]	[Fe/H]_err	[Fe/H]_source	Log_Mass	EBV_source	COMMENTS                                              
----------	-------------	-------------	------	-------	--------	------	------	-----	-----	------	----------	----------	----	------	----------	-------------	--------	----------	------------------------------------------------------
PAndAS-04 	   0:04:42.9 	   47:21:42  	 15.93	 122.61	  -397  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-05 	   0:05:24.1 	   43:55:35  	-23.13	  96.80	  -183  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-06 	   0:06:11.9 	   41:41:20  	-47.92	  79.22	  -327  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-07 	   0:10:51.3 	   39:35:58  	-65.49	  54.03	  -452  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-08 	   0:12:52.4 	   38:17:47  	-77.46	  40.05	  -416  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-09 	   0:12:54.6 	   45:05:55  	 -0.05	  89.75	  -444  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-10 	   0:13:38.6 	   45:11:11  	  1.89	  88.92	  -435  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-11 	   0:14:55.6 	   44:37:16  	 -2.86	  82.15	  -447  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-12 	   0:17:40.0 	   43:18:39  	-14.02	  66.81	  -472  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-13 	   0:17:42.7 	   43:04:31  	-16.61	  64.96	  -570  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-14 	   0:20:33.8 	   36:39:34  	-84.49	  10.60	  -363  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-15 	   0:22:44.0 	   41:56:14  	-22.35	  46.00	  -385  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
PAndAS-16 	   0:24:59.9 	   39:42:13  	-43.84	  24.16	  -490  	  10  	  0.13	     	     	      	HX        	          	    	      	          	             	        	          	                                                      
HEC1      	   0:25:33.96	   40:43:39.4	-31.69	  30.84	  -233  	  10  	  0.13	18.44	     	      	HX        	H         	(14)	      	          	             	    4.79	          	                                                      
