B305-D024           0 38 58.85  40 16 32.1 0.13) -516.9 15 4.8 0.9
B436                0 39 30.67  40 18 20.6 0.13) -488.2 19 4.7 1.3
BH09                0 40 37.15  40 33 21.9       -510.7 29     
B335-V013           0 40 41.67  40 38 27.9 0.13) -537.9 10 4.8 1.5
B449-V11            0 40 42.3   40 36 04.9 0.13) -551.4 15 4.5 1.3
DAO38               0 40 47.01  40 40 57.9 0.13) -537.7 22 4.3 1.2
BH11                0 40 50.83  40 40 38.4       -549.8 25     
KHM31-74            0 40 52.99  40 35 19.8       -576.5 25     
KHM31-77            0 40 53.69  40 36 50.8       -556.0 26     
B247                0 41 02.27  41 00 32.0 0.13) -521.1  9 4.7 1.5
LGS04105.6_410743 b 0 41 05.59  41 07 42.7 0.58  -265.9 32 4.9 0.8
B017D               0 41 10.01  40 58 10.6       -500.0 23     
SK036A              0 41 47.40  40 51 08.6       -571.4 40     
B259                0 42 19.0   41 42 13.9       -294.2 24     
B051D               0 42 20.56  41 04 37.7       -213.7 22     
NB35-AU4            0 42 34.55  41 18 40.4       -302.3 35     
SK068A              0 43 28.15  41 00 22.0       -285.1 33     
M012                0 44 02.83  41 21 40.3 0.28  -220.7 14 4.5 1.1
B277-M22            0 44 16.90  41 14 16.0 0.13) -358.1  9 4.1 1.0
M026                0 44 20.24  41 27 20.0                     
B112D-M27           0 44 21.23  41 19 09.8 0.22  -290.6 16 4.5 1.0
M040                0 44 31.51  41 27 55.2       -204.5 30     
M043                0 44 34.36  41 23 11.5       -199.4 39     
M045                0 44 36.4   41 35 32.9       -178.1 29     
M047                0 44 37.8   41 28 51.9 0.13)  -36.2 20 4.3 1.3
B281-G288           0 44 42.85  41 20 08.6 0.08) -215.3  7 4.8 1.1
B368-G293           0 44 47.80  41 51 09.2                     
M053                0 44 57.29  41 48 02.0 0.13)  -67.6 19 4.2 1.0
B257D-D073        c 0 44 59.49  41 54 46.9 0.37  -124.2 17 4.2 0.2
M057                0 45 02.75  41 47 02.4        -80.4 39     
M058                0 45 03.36  41 40 05.5       -168.7 26     
KHM31-264           0 45 05.79  41 35 42.5        -85.9 40     
B476-D074           0 45 07.18  41 40 31.1 0.13) -151.1 20 4.5 1.2
M070                0 45 11.79  41 40 19.8 0.13) -136.4 19 4.0 1.2
M081                0 45 22.29  41 47 57.0 0.27   -93.4 21 3.7 0.9
M105                0 45 49.70  41 39 26.0 0.13) -156.8 14 3.9 1.2
DAO84             d 0 45 52.33  41 42 49.2 0.27  -170.6 27 3.7 0.2
